城市,年份,夜光亮度,GDP_估算,第二产业占比,第三产业占比,专利授权数,R&D经费,R&D人员全时当量,规上工业企业R&D经费,规上工业企业R&D人员全时当量,信息就业人数,万元GDP能耗变化率,第一产业贡献率,第二产业贡献率,第三产业贡献率,一般公共预算支出
滨州市,2020,3.80969595909119,3888.8365068457483,45.5,45.3,8259,1222225.0,24905.0,1131297.0,22441.0,0.4,-4.61,5.8,55.7,38.5,5700314
潍坊市,2020,3.96585607528686,4048.240608195574,42.4,49.1,24755,2065857.0,56720.0,1989256.0,50925.0,1.4,-6.33,6.0,45.9,48.1,9019526
烟台市,2020,5.29156017303467,5401.484160425535,42.6,51.1,20762,2572992.0,53552.0,2083136.0,45060.0,1.0,-6.31,4.5,47.5,48.0,10049939
聊城市,2020,3.63561391830444,3711.1381806099666,41.4,45.0,9591,1197326.0,17282.0,919313.0,14850.0,0.3,-7.95,9.4,48.7,41.8,5765383
菏泽市,2020,3.57870697975159,3653.0490883271427,43.4,47.4,7737,7045055.0,18069.0,657790.0,16802.0,0.4,-5.66,4.6,48.9,46.6,7108772
青岛市,2020,6.679368019104,6818.121570401115,34.2,62.8,64390,4673325.0,104542.0,2893729.0,63215.0,3.7,-2.08,2.3,41.6,56.1,17204231
东营市,2021,4.64219808578491,5309.785354144022,59.5,36.0,6930,1096384.0,19256.0,1046591.0,17078.0,0.5,-6.29,3.3,60.9,35.8,4317297
临沂市,2021,3.99399590492248,4568.366228362447,40.5,51.2,16298,1575930.0,34366.0,1360007.0,29833.0,0.6,-5.58,4.9,50.8,44.3,9763889
威海市,2021,5.28186178207397,6041.438089199381,37.0,53.7,10213,815981.0,21861.0,842880.0,20089.0,0.5,-13.04,6.8,40.7,52.5,4804571
德州市,2021,4.3509202003479,4976.6192501780015,43.3,47.1,10633,1217447.0,23820.0,1143264.0,20911.0,0.6,-15.44,6.2,47.2,46.6,6439882
日照市,2021,4.24399423599243,4854.316429613116,43.0,48.4,5553,1095487.0,13106.0,725571.0,10669.0,0.4,-6.74,6.8,44.0,49.2,3184475
枣庄市,2021,3.41650605201721,3907.828460163199,38.6,52.8,6660,459844.0,13881.0,378001.0,11367.0,0.4,-5.94,5.2,42.8,52.0,3543826
泰安市,2021,4.70083379745483,5376.85337608133,41.9,47.8,9025,910082.0,25072.0,821190.0,18966.0,1.4,-6.71,6.9,47.2,45.9,4800006
济南市,2021,6.56894588470459,7513.61574974058,33.4,63.3,51227,4052419.0,94214.0,2033068.0,41893.0,9.5,-4.55,2.3,36.9,60.8,13971495
济宁市,2021,4.08658599853516,4674.271558966258,37.1,52.1,14982,1154861.0,36176.0,984911.0,29344.0,0.7,-9.45,6.8,33.1,60.2,8007121
淄博市,2021,5.38610982894897,6160.677885146477,46.9,49.0,14565,1462828.0,33652.0,1152710.0,26962.0,1.5,-11.37,2.7,53.6,43.7,5775615
滨州市,2021,3.91373896598816,4476.567664180791,45.5,45.3,8259,1222225.0,24905.0,1131297.0,22441.0,0.4,-4.61,5.8,55.7,38.5,5700314
潍坊市,2021,4.08565282821655,4673.204190879177,42.4,49.1,24755,2065857.0,56720.0,1989256.0,50925.0,1.4,-6.33,6.0,45.9,48.1,9019526
烟台市,2021,5.26506519317627,6022.226009042421,42.6,51.1,20762,2572992.0,53552.0,2083136.0,45060.0,1.0,-6.31,4.5,47.5,48.0,10049939
聊城市,2021,3.75827789306641,4298.749976765186,41.4,45.0,9591,1197326.0,17282.0,919313.0,14850.0,0.3,-7.95,9.4,48.7,41.8,5765383
菏泽市,2021,3.70201992988586,4234.4016436199945,43.4,47.4,7737,7045055.0,18069.0,657790.0,16802.0,0.4,-5.66,4.6,48.9,46.6,7108772
青岛市,2021,6.77477788925171,7749.048133917614,34.2,62.8,64390,4673325.0,104542.0,2893729.0,63215.0,3.7,-2.08,2.3,41.6,56.1,17204231
东营市,2022,4.93743419647217,6164.607175246463,59.5,36.0,6930,1096384.0,19256.0,1046591.0,17078.0,0.5,-6.29,3.3,60.9,35.8,4317297
临沂市,2022,3.66507196426392,4576.0060852738825,40.5,51.2,16298,1575930.0,34366.0,1360007.0,29833.0,0.6,-5.58,4.9,50.8,44.3,9763889
威海市,2022,5.13721990585327,6414.0485588789625,37.0,53.7,10213,815981.0,21861.0,842880.0,20089.0,0.5,-13.04,6.8,40.7,52.5,4804571
德州市,2022,4.15302515029907,5185.237437453911,43.3,47.1,10633,1217447.0,23820.0,1143264.0,20911.0,0.6,-15.44,6.2,47.2,46.6,6439882
日照市,2022,3.88912105560303,4855.741385252844,43.0,48.4,5553,1095487.0,13106.0,725571.0,10669.0,0.4,-6.74,6.8,44.0,49.2,3184475
枣庄市,2022,3.18481707572937,3976.3864014464734,38.6,52.8,6660,459844.0,13881.0,378001.0,11367.0,0.4,-5.94,5.2,42.8,52.0,3543826
泰安市,2022,3.95297503471374,4935.465930863026,41.9,47.8,9025,910082.0,25072.0,821190.0,18966.0,1.4,-6.71,6.9,47.2,45.9,4800006
济南市,2022,6.56211805343628,8193.097553772262,33.4,63.3,51227,4052419.0,94214.0,2033068.0,41893.0,9.5,-4.55,2.3,36.9,60.8,13971495
济宁市,2022,3.82124495506287,4770.9950413488405,37.1,52.1,14982,1154861.0,36176.0,984911.0,29344.0,0.7,-9.45,6.8,33.1,60.2,8007121
淄博市,2022,5.46347284317017,6821.389926540332,46.9,49.0,14565,1462828.0,33652.0,1152710.0,26962.0,1.5,-11.37,2.7,53.6,43.7,5775615
滨州市,2022,3.97939395904541,4968.451138162331,45.5,45.3,8259,1222225.0,24905.0,1131297.0,22441.0,0.4,-4.61,5.8,55.7,38.5,5700314
潍坊市,2022,3.93298602104187,4910.508754280146,42.4,49.1,24755,2065857.0,56720.0,1989256.0,50925.0,1.4,-6.33,6.0,45.9,48.1,9019526
烟台市,2022,5.10992097854614,6379.964628550471,42.6,51.1,20762,2572992.0,53552.0,2083136.0,45060.0,1.0,-6.31,4.5,47.5,48.0,10049939
聊城市,2022,3.70914602279663,4631.03451637016,41.4,45.0,9591,1197326.0,17282.0,919313.0,14850.0,0.3,-7.95,9.4,48.7,41.8,5765383
菏泽市,2022,3.51320791244507,4386.397032018369,43.4,47.4,7737,7045055.0,18069.0,657790.0,16802.0,0.4,-5.66,4.6,48.9,46.6,7108772
青岛市,2022,6.68785715103149,8350.088434541525,34.2,62.8,64390,4673325.0,104542.0,2893729.0,63215.0,3.7,-2.08,2.3,41.6,56.1,17204231
东营市,2023,5.16075801849365,7060.314008183287,59.5,36.0,6930,1096384.0,19256.0,1046591.0,17078.0,0.5,-6.29,3.3,60.9,35.8,4317297
临沂市,2023,3.61391592025757,4944.115012708673,40.5,51.2,16298,1575930.0,34366.0,1360007.0,29833.0,0.6,-5.58,4.9,50.8,44.3,9763889
威海市,2023,4.88721990585327,6686.092825650377,37.0,53.7,10213,815981.0,21861.0,842880.0,20089.0,0.5,-13.04,6.8,40.7,52.5,4804571
德州市,2023,3.79706501960754,5194.677071052222,43.3,47.1,10633,1217447.0,23820.0,1143264.0,20911.0,0.6,-15.44,6.2,47.2,46.6,6439882
日照市,2023,3.73625802993774,5111.488431045719,43.0,48.4,5553,1095487.0,13106.0,725571.0,10669.0,0.4,-6.74,6.8,44.0,49.2,3184475
枣庄市,2023,3.18553590774536,4358.058198510573,38.6,52.8,6660,459844.0,13881.0,378001.0,11367.0,0.4,-5.94,5.2,42.8,52.0,3543826
泰安市,2023,3.53662610054016,4838.376593103393,41.9,47.8,9025,910082.0,25072.0,821190.0,18966.0,1.4,-6.71,6.9,47.2,45.9,4800006
济南市,2023,6.25696897506714,8560.014932908854,33.4,63.3,51227,4052419.0,94214.0,2033068.0,41893.0,9.5,-4.55,2.3,36.9,60.8,13971495
济宁市,2023,3.57817888259888,4895.2239957905285,37.1,52.1,14982,1154861.0,36176.0,984911.0,29344.0,0.7,-9.45,6.8,33.1,60.2,8007121
淄博市,2023,5.4207501411438,7416.003234259412,46.9,49.0,14565,1462828.0,33652.0,1152710.0,26962.0,1.5,-11.37,2.7,53.6,43.7,5775615
滨州市,2023,3.80206394195557,5201.51598141251,45.5,45.3,8259,1222225.0,24905.0,1131297.0,22441.0,0.4,-4.61,5.8,55.7,38.5,5700314
潍坊市,2023,3.72850203514099,5100.877633462368,42.4,49.1,24755,2065857.0,56720.0,1989256.0,50925.0,1.4,-6.33,6.0,45.9,48.1,9019526
烟台市,2023,4.80602216720581,6575.008072296101,42.6,51.1,20762,2572992.0,53552.0,2083136.0,45060.0,1.0,-6.31,4.5,47.5,48.0,10049939
聊城市,2023,3.40206289291382,4654.283772555371,41.4,45.0,9591,1197326.0,17282.0,919313.0,14850.0,0.3,-7.95,9.4,48.7,41.8,5765383
菏泽市,2023,3.27879309654236,4485.64120745379,43.4,47.4,7737,7045055.0,18069.0,657790.0,16802.0,0.4,-5.66,4.6,48.9,46.6,7108772
青岛市,2023,6.66974115371704,9124.719029606817,34.2,62.8,64390,4673325.0,104542.0,2893729.0,63215.0,3.7,-2.08,2.3,41.6,56.1,17204231
东营市,2024,5.32152414321899,7479.015883646768,59.5,36.0,6930,1096384.0,19256.0,1046591.0,17078.0,0.5,-6.29,3.3,60.9,35.8,4317297
临沂市,2024,3.47745609283447,4887.312103269162,40.5,51.2,16298,1575930.0,34366.0,1360007.0,29833.0,0.6,-5.58,4.9,50.8,44.3,9763889
